Title,Address,Latitude,Longitude,Phone,Website,Email,volunteer-email,volunteer-website,volunteer-phone,Notes,Category,PlaceID,Source,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Image
"Gay Men's Health Crisis, Inc - Food Distribution Center","446 W 33rd St, New York, NY 10001, USA",40.753441,-73.998914,(212) 367-1454,,,,,,,Food bank,ChIJzayIwLNZwokRQQBTUjrxAZI,AP,,,,,,,,
Genesis Transistional Housing Minsitries - Food Distribution Center,"195-12 Hollis Ave, St. Albans, NY 11412, USA",40.706442,-73.762397,(917) 567-5745,,,,,,,Food bank,ChIJo5JJ_mhhwokRO8StOyO8528,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,Closed","Friday,9AM to 1PM","Saturday,Closed","Sunday,Closed",
Gethsemane Baptist Church - Food Pantry,"771 Fairmount Pl, Bronx, NY 10460, USA",40.8430848,-73.8894735,(718) 294-7129,https://gethsemanebaptistchurchbronx.com/,gethsemanebaptistchurchbx@gmail.com,,,,"Hours of Operation:
- Thursday: 7:30 AM - 10:00 AM
For more information, please call them.
Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 7:30 AM - 10:00 AM
Friday: Closed
Saturday: Closed
Sunday: Closed",Food bank,ChIJHxQE02H0wokRh6sLkIb58h8,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,7:30 to 10AM","Friday,Closed","Saturday,Closed","Sunday,Closed",
Gethsemane Outreach Ministries - Food Distribution Center,"144 Newport St, Brooklyn, NY 11212, USA",40.659025,-73.9097695,(718) 345-1868,,,,,,Monday and Friday: 1:00 PM - 2:00 PM,Food bank,ChIJz-JsCfNcwokRKhLXQ1LNPhk,AP,,,,,,,,
Gethsemane SDA Church,"357 Empire Blvd, Brooklyn, NY 11225, USA",40.6642596,-73.9498489,(347) 267-5145,http://www.gethsemanesda.org/?fbclid=IwAR3Xun0KIJMUGrrKB1ZjnUAhuPaoxSmJpBQ7zHiyR8uKqJmYB_kZ0N_89aY,,,,,"Food Pantry
Hours of operation:
- Wednesday: 6:00 pm - 7:00 pm
- Sunday: 12:00 pm - 2:00 pm
For more information, please call them.",Food bank,ChIJbXgY-nBbwokRKxHqqAq-mjI,OM,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed,12:00 PM - 02:00 PM,
Gethsemane Soul Saving Outreach - Food Distribution Center,"145-41 228th St, Queens, NY 11413, USA",40.6608661,-73.7520632,+1 718-949-8662,,,,,,"Phone: (917) 519-6051
Hours of operation:
Wednesday from 1:00 PM to 2:00 PM
For more information, please call them.",Food bank,ChIJdYY6GJ9mwokR5qA_pUIErEs,AP,,,,,,,,
Gilda's Club New York City - Food Distribution Center,"195 W Houston St, New York, NY 10014, USA",40.7283617,-74.0037855,(212) 647-9700,,,,,,,Food bank,ChIJJSUufo1ZwokRHvcjFZuS9Fs,AP,,,,,,,,
Girls Educational And Mentoring Services (Gem) - Food Distribution Center,"2799 Frederick Douglass Blvd #1, New York, NY 10039, USA",40.8253289,-73.9403454,,http://www.gems-girls.org/,development@gems-girls.org,,,,,Food bank,ChIJq-_V9X72wokRU6-lzucmYgw,AP,,,,,,,,
Give Them To Eat,"800 E 156th St, Bronx, NY 10455, USA",40.8158551,-73.9043377,(646) 323-9668,,,,,,,Food bank,ChIJF7Ase7H1wokRU7UHVzQ9MO4,OM,closed,closed,closed,closed,12:00 PM - 03:00 PM,closed,closed,
Glenridge Senior Citzen Center - Food Distribution Center,"59-03 Summerfield St, Flushing, NY 11385, USA",40.699527,-73.898137,(718) 386-5136,,,,,,,Food bank,ChIJd_8d3ChcwokR8_ZVT4TR-L4,AP,,,,,,,,
Glover Memorial,"2134 Dean St, Brooklyn, NY 11233, USA",40.6746165,-73.9170351,(347) 432-3065,,,,,,,Food bank,ChIJ0yOPaWZcwokR6HVJpVN7kOc,OM,closed,closed,closed,09:00 AM - 11:00 AM,closed,closed,closed,
GMHC Keith Haring Pantry - Food Distribution Center,"307 W 38th St, New York, NY 10018, USA",40.7551316,-73.992355,(212) 367-1261,http://www.gmhc.org/content/keith-haring-pantry,nutrition@gmhc.org,,https://www.volunteermatch.org/search/opp3478225.jsp,,Visit our website for more volunteering information,Food bank,ChIJnzLcw7NZwokR7-UppS_WGrw,AP,"Monday,Closed","Tuesday,Closed","Wednesday,11:30AM to 1:30PM","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
"God Bless You All, Inc.","1926 Crotona Pkwy, Bronx, NY 10460, USA",40.8364441,-73.8849535,(917) 519-2665,,,,,,,Food bank,ChIJ3ZCzFov0wokRVwQWZJ9GdqI,OM,Closed,Closed,11am-3pm,11am-3pm,Closed,Closed,Closed,
God's Battalion Prayer Church,"661 Linden Blvd, Brooklyn, NY 11203, USA",40.6539157,-73.9339155,(718) 774-5447,,,,,,,Food bank,ChIJVS0kd55cwokRnTFT2d3CkDk,OM,closed,09:00 AM - 12:00 PM,closed,09:00 AM - 12:00 PM,closed,closed,closed,
"God's Deliverance Temple, Inc.","438 Ralph Ave, Brooklyn, NY 11233, USA",40.6739912,-73.922411,(347) 234-3828,,,,,,"Phone: (718) 604-7634
Food Pantry Hours of Operation: Tuesday 10:30 am - 12:30 pm
For more information, please call them.",Food bank,ChIJl4GK5WRcwokRq9JdPiAEiGk,OM,closed,11:00 AM - 12:00 PM,closed,closed,closed,closed,closed,
God's House Of Praise - Food Distribution Center,"3935 Hill Ave, Bronx, NY 10466, USA",40.8897036,-73.8387724,(718) 708-5563,,,,,,,Food bank,ChIJ02d9VNSMwokR4COUlG6udB8,AP,,,,,,,,
God's Love We Deliver Grocery Bag Program - Food Distribution Center,"166 6th Ave, New York, NY 10013, USA",40.725778,-74.0037186,(212) 294-8157,http://www.godslovewedeliver.org/,clientservices@glwd.org,,,,"Home-Delivered Meal Program. For more information, please call them.",Food bank,ChIJ9XeH-YxZwokRIWc_PHbqfck,AP,"Monday,7AM to 5PM","Tuesday,Closed","Wednesday,7AM to 5PM","Thursday,7AM to 5PM","Friday,7AM to 5PM","Saturday,7AM to 5PM","Sunday,7AM to 5PM",
God's Gospel Cafe,"19011 Hollis Ave, Hollis, NY 11423, USA",40.7095621,-73.7674677,,https://www.ggcafe.org/,,,,,,Food bank,ChIJM520d2xhwokRlVdfekFYZFo,AP,,,,,,,,
Goddard Riverside Community Center/project Reachout - Food Distribution Center,"589 Amsterdam Ave, New York, NY 10024, USA",40.7890782,-73.9736968,,http://www.goddard.org/,info@goddard.org,,,,,Food bank,ChIJy8DvcINYwokRXBXCHUBlklo,AP,,,,,,,,
Godian Fellowship Food Center - Food Distribution Center,"106-3 Guy R Brewer Blvd, Queens, NY 11433, USA",40.699622,-73.7932782,(718) 523-7309,,,,,,"Phone: (718) 523-8388
Hours of operation:
Tuesday, Thursday: 4:00 pm - 5:00 pm
Wednesday: 10:00 am - 12:00 pm
For more information, please call them.",Food bank,ChIJqwyl6idhwokRLPmvZyX4zU4,AP,,,,,,,,
Goke Food Pantry,"632 Cortelyou Rd, Brooklyn, NY 11218, USA",40.638429,-73.9719396,,http://gokefoodpantry.org/,admin@gokefoodpantry.org,,,,,Food bank,ChIJm4I_7S1bwokRFxXsUeA2rfw,AP,"Monday,Closed","Tuesday,5 to 7:30PM","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
GOOD NEIGHBORS COMMUNITY OUTREACH AGENCY INC,"3350 Seymour Ave, Bronx, NY 10469, USA",40.8698639,-73.8485334,(914) 275-3961,,,,,,,Food bank,ChIJ9WAPczbzwokRPyXklXDdIWU,OM,closed,closed,12:00 PM - 3:00 PM,closed,closed,closed,closed,
Good News Deliverance Tabernacle,"442 Cleveland St, Brooklyn, NY 11208, USA",40.6738933,-73.8845055,(347) 351-9293,,,,,,,Food bank,ChIJp2QxNrJdwokRBuctRTU0lmE,OM,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed,
Good Shepherd Food Pantry - Food Distribution Center,"608 Isham St, New York, NY 10034, USA",40.868821,-73.9205941,(212) 567-1300,,,,,,,Food bank,ChIJ6VSX2vbzwokRDq26lmiSen0,AP,,,,,,,,
Goodwill Tenant Association Inc - Food Distribution Center,"4-21 27th Ave, Queens, NY 11102, USA",40.7748306,-73.9326557,,http://www.goodwill.org/,,,,,,Food bank,ChIJx-L5U0xfwokRPqf2xoQs8z8,AP,,,,,,,,
Gospel Assembly Food Pantry,"109-14 Farmers Blvd, Queens, NY 11412, USA",40.7029794,-73.7669565,(917) 868-7032,,,,,,,Food bank,ChIJe18FwkFhwokRf0wvUcwstzo,OM,closed,07:00 PM - 09:00 PM,closed,07:00 PM - 09:00 PM,closed,10:00 AM - 12:00 PM,closed,
Gospel Tabernacle Church of Jesus Christ Inc.,"2314 Snyder Ave, Brooklyn, NY 11226, USA",40.6485944,-73.9552144,(917) 284-7894,,,,,,,Food bank,ChIJ6xnzP0FbwokRGDv2gMOeDRw,OM,closed,closed,closed,closed,closed,10:00 AM - 01:00 PM,closed,
Grace And Hope Mission - Food Distribution Center,"114 3rd Ave, New York, NY 10003, USA",40.73307,-73.9876869,+1 212-982-1230,,,,,,,Food bank,ChIJ3XRg3J5ZwokRIqv3YgtlzI8,AP,,,,,,,,
Grace Episcopal Church - Food Distribution Center,"1909 Vyse Ave, Bronx, NY 10460, USA",40.8406253,-73.8836388,(718) 542-1946,http://www.gracewestfarms.org/,mymail@mailservice.com,,,,"Hours of Operation:
- Thursday: 9:00 AM to 12:00 PM
- Tuesday and Saturday: 12:00 PM to 3:00 PM
For more information, please call.",Food bank,ChIJld2IXIv0wokRHkwIrOJ_68A,AP,closed,12:00 PM - 01:00 PM,closed,09:00 AM - 11:00 AM,closed,closed,closed,
Grace Institute - Food Distribution Center,"1233 2nd Ave, New York, NY 10065, USA",40.764119,-73.9620556,(212) 832-7605,https://graceinstitute.org/students/participantresources/,info@mealsonwheelsofsi.org,iskelton@graceinstitute.org,,,Email us for more volunteering information!,Food bank,ChIJO7ZYUehYwokR5Uwpm21rhAQ,AP,,,,,,,,
Grace Reformed Church of Flatbush,"1800 Bedford Ave, Brooklyn, NY 11225, USA",40.661721,-73.9571898,(347) 249-8711,,,,,,,Food bank,ChIJab7kbW1bwokReFjmWv6asj4,OM,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed,
Graham Windham Services To Families And Children - Food Distribution Center,"33 Irving Pl, New York, NY 10003, USA",40.7352025,-73.9882129,+1 212-529-6445,,,,,,,Food bank,ChIJgyOJRJ9ZwokRNcESOagCbTU,AP,,,,,,,,
Grand Central Food Program,"210 E 124th St, New York, NY 10035, USA",40.8006472,-73.9356377,(212) 369-9220,,,,,,,Food bank,ChIJlxiCAeL1wokRV6NpSe6u2Ps,OM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,06:00 PM - 09:30 PM,closed,closed,
Grand Central Neighborhood Social Services Corporation (gcnssc) - Food Distribution Center,"120 E 32nd St, New York, NY 10016, USA",40.7452185,-73.9814804,+1 212-883-0680,http://www.grandcentralneighborhood.org/,admin@gcnssc.org,,,,"We have a monthly food pantry that is very popular. We hold it the 2nd Wednesday of every month. We also take volunteers daily, (with a completed application), in our soup kitchen that serves three meals a day (volunteering is only for lunch 12PM-1:30PM and dinner 4PM-6PM shifts).


Soup Kitchen Hours of Operation:
Monday - Sunday
Breakfast: 7:00 am - 8:00 am
Lunch: 12:00 pm - 1:15 pm
Dinner: 4:00 pm - 5:30 pm
Mission Statement:
The Grand Central Neighborhood Social Services Corporation (GCNSSC) is dedicated to providing immediate relief to the homeless population in Midtown Manhattan. Our Mainchance Drop-In Center offers essential necessities such as food, clothing, showers, and chairs for respite, as well as a variety of social services including employment counseling, treatment referrals, and housing assistance.
*From the Grand Central Neighborhood Social Services website.",Food bank,ChIJR3As4QdZwokRALqOKie-zqA,AP,"Monday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm","Tuesday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm","Wednesday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm","Thursday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm","Friday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm","Saturday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm","Sunday,6:30 to 8am, 12 to 1:30pm, 4 to 6pm",
"Grand Concourse SDA Church, Inc.","1275 Grand Concourse, Bronx, NY 10452, USA",40.8328187,-73.9164634,(718) 681-2232,,,,,,,Food bank,ChIJT41iozn0wokR-FP7JaU1HF4,OM,-,-,1:30 PM - 4:00 PM,-,-,-,-,
"Grand Street Settlement, Inc. - Food Distribution Center","80 Pitt St, New York, NY 10002, USA",40.7182152,-73.9820001,(212) 674-1740,http://www.grandstreet.org/,info@grandsettlement.org,,,,,Food bank,ChIJifM1en9ZwokRz3opNCDN8UA,AP,,,,,,,,
Grant House Unity,"2046 Flatbush Ave, Brooklyn, NY 11234, USA",40.6198562,-73.9341225,(917) 545-2768,,,,,,,Food bank,ChIJv8pWiVdDwokROL6tJ5mtuDE,OM,Closed,Closed,11am - 4pm,11am - 4pm,Closed,Closed,Closed,
Greater Central Baptist Church,"2152 5th Ave, New York, NY 10037, USA",40.8089855,-73.9394264,(917) 572-4867,,,,,,,Food bank,ChIJl6j3VnT2wokRPWhrdxVilcA,OM,closed,closed,10:00AM - 03:00PM,closed,closed,closed,closed,
Greater Saint Stephen Missionary - Food Distribution Center,"121-17 Sutphin Blvd, Jamaica, NY 11434, USA",40.6768552,-73.7904737,(718) 659-8814,,,,,,,Food bank,ChIJ2z9mldlmwokRRK4tSft3IC4,AP,,,,,,,,
Greater Springfield Community Church - Food Distribution Center,"1776 129th Ave, Jamaica, NY 11434, USA",40.6806405,-73.7654976,(718) 710-1224,,,,,,,Food bank,ChIJYZiLCrRmwokRq2CBcqWi_QQ,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,Closed","Friday,2 to 4PM","Saturday,Closed","Sunday,Closed",
Greater Unified Free Will Baptist Church,"66 Rogers Ave, Brooklyn, NY 11216, USA",40.674486,-73.9530308,(917) 836-8919,,,,,,"Phone: (718) 783-4282
Food Pantry Hours of Operation: Wednesday 12:00 pm - 1:00 pm
For more information, please call them.",Food bank,ChIJ762KLpxbwokR8A7MOjb9g4E,OM,closed,closed,08:30 AM - 11:30 AM,closed,closed,closed,closed,
Green Chimneys - New York City Branch - Food Distribution Center,"456 W 145th St, New York, NY 10031, USA",40.824653,-73.946986,,,,,,,,Food bank,ChIJ63Krunz2wokRFrKcK_p-7bg,AP,,,,,,,,
Green Guerillas - Food Distribution Center,"151 W 30th St, New York, NY 10001, USA",40.7483169,-73.9918499,(212) 594-2155,http://www.greenguerillas.org/,,,,,,Food bank,ChIJff69p69ZwokRYip2-LZisDQ,AP,"Monday,9AM to 3PM","Tuesday,9AM to 3PM","Wednesday,9AM to 3PM","Thursday,9AM to 3PM","Friday,9AM to 3PM","Saturday,Closed","Sunday,Closed",
Greenpoint Reformed Church,"136 Milton St, Brooklyn, NY 11222, USA",40.7291667,-73.955,(718) 383-5941,http://www.greenpointchurch.org/,maria@greenpointchurch.org,,,,"Community Dinner:
Hours of Operation:
Wednesday 6:00 PM - 7:00 PM
Food Pantry:
Thursday 4:00 PM - 7:00 PM
For more information, please call them.",Food bank,ChIJT-d23kBZwokR_OfM7rQTlgA,AP,"Monday,Closed","Tuesday,Closed","Wednesday,6 to 7PM","Thursday,4 to 7PM","Friday,Closed","Saturday,Closed","Sunday,11AM to 12:30PM",
Gustavus Adolphus Lutheran Church - Food Distribution Center,"155 E 22nd St, New York, NY 10010, USA",40.7385282,-73.9840629,+1 212-647-0739,,,,,,,Food bank,ChIJOcQPjqBZwokRSRcF8NiJkN4,AP,,,,,,,,
"H.o.m.e.e. Clinic, Inc. - Food Distribution Center","839 Morris Park Ave, Bronx, NY 10462, USA",40.8382522,-73.8566087,(718) 409-9109,,,,,,,Food bank,ChIJ_____7j0wokRMjlFPXvshCU,AP,,,,,,,,
Haber House Senior Center,"3024 W 24th St, Brooklyn, NY 11224, USA",40.5729282,-73.9907934,(718) 372-5775,,,,,,,Food bank,ChIJTW1pzM5FwokRPbuiFVC3Zxw,OM,9:00 AM - 02:00 PM (by appointment only),closed,9:00 AM - 02:00 PM (by appointment only),closed,9:00 AM - 02:00 PM (by appointment only),closed,closed,
"Haitian Centers Council, Inc. - Food Distribution Center","50 Court St #712, Brooklyn, NY 11201, USA",40.692481,-73.991527,(718) 855-7275,,,,,,,Food bank,ChIJMTwjKUlawokRmPnSzBRF9Iw,AP,,,,,,,,
Haitian Society For Mutual Aid - Food Distribution Center,"152-18 Union Tpke, Queens, NY 11432, USA",40.7188706,-73.8111553,+1 718-591-2502,http://www.haitiansociety.org/About_Us/about_us.ht,,,,,,Food bank,ChIJmwyKau5gwokRPvJnM_iaOKw,AP,,,,,,,,
Hannah Kosher Food Shabbat Foundation - Food Distribution Center,"2102 Avenue T, Brooklyn, NY 11229, USA",40.6015856,-73.950548,+1 929-427-1065,,,,,,,Food bank,ChIJJ0Xu0o9EwokRJHczMdOLYT4,AP,"Monday,Closed","Tuesday,Closed","Wednesday,9am to 12pm","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
Hanson Place Seventh Day Adventist Community Service - Food Distribution Center,"150 S Portland Ave, Brooklyn, NY 11217, USA",40.6848036,-73.9743481,+1 718-230-0229,https://www.hansonplace.org/ministries/community-services,,,,,,Food bank,ChIJGbGp1bFbwokRsrsZwWSPmNw,AP,closed,closed,closed,01:30 PM - 05:00 PM,closed,closed,closed,
Harlem Community Orientation - Food Distribution Center,"132 W 125th St #3, New York, NY 10027, USA",40.8083324,-73.9472993,(212) 666-7538,,,,,,,Food bank,ChIJJSRoXA32wokRQKshAx5FUtM,AP,,,,,,,,
Harlem Dowling West Side Center,"2139 Adam Clayton Powell Jr Blvd, New York, NY 10027, USA",40.8087226,-73.947057,(212) 749-3656,,,,,,,Food bank,ChIJ75EnpXL2wokRvqQhnq4Rnas,OM,closed,closed,closed,closed,12:00 PM - 02:00 PM,closed,closed,
"Harlem Educational Activities Fund, Inc. - Food Distribution Center","2090 Adam Clayton Powell Jr Blvd, New York, NY 10027, USA",40.8086621,-73.9488936,(212) 663-9732,http://www.heaf.org/,admissions@heaf.org,,,,,Food bank,ChIJ2e1ouRL2wokRFLdxYALYTKI,AP,,,,,,,,
Harlen United - Food Pantry,"123 W 124th St #125, New York, NY 10027, USA",40.8076915,-73.9469649,(212) 924-3733,https://www.harlemunited.org/,,giving@harlemunited.org,,,Email us for more general or volunteering information!,Food bank,ChIJ06ataA32wokRdODlrA5rU4g,AP,"Monday,Closed","Tuesday,Closed","Wednesday,Closed","Thursday,11AM to 2PM","Friday,Closed","Saturday,Closed","Sunday,Closed",
Healing From Heaven Temple - Food Distribution Center,"2535 Frederick Douglass Blvd, New York, NY 10030, USA",40.817112,-73.94651,,,,,,,,Food bank,ChIJVU1sN3D2wokRn-tEEONcHJs,AP,,,,,,,,
Health Essential Association - Food Distribution Center,"2101 East 16th Street, Brooklyn, NY 11229, USA",40.5986603,-73.9552617,(917) 688-5273,,,,,,,Food bank,ChIJxQn1bIxEwokRzOvi5-KJ71w,AP,,,,,,,,
Health Essential Association - Food Pantry,"2336 86th St, Brooklyn, NY 11223, USA",40.5998226,-73.990785,(646) 515-6898,https://healthessential.org/services,,,,,,Food bank,ChIJYVURGgdFwokR0hhvC5Fq8gw,AP,,,,,,,,
Healthy Harlem Harvest Community Partner Mobile Market - Food Distribution Center,"245 W 129th St, New York, NY 10027, USA",40.8124331,-73.948153,,,,,,,,Food bank,ChIJUYvvhW32wokRhmx47m81QbI,AP,,,,,,,,
Heavenly Vision Christian Center - Food Distribution Center,"2868 Jerome Ave, Bronx, NY 10468, USA",40.8715422,-73.8921543,(718) 220-8124,,,,,,,Food bank,ChIJy1he3pzzwokRlh4EUOi1bLk,AP,"Monday,Closed","Tuesday,9 to 10:30AM","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
Hebrew Educational Society,"9502 Seaview Ave, Brooklyn, NY 11236, USA",40.632485,-73.8906954,(718) 241-3000,,,,,,,Food bank,ChIJEV8zjNdcwokRMrIUWa-kIhA,OM,closed,10:00 AM - 02:00 PM,03:00 PM - 06:00 PM,closed,closed,closed,closed,
Hebron Seventh Day Adventist Church - Food Distribution Center,"1256 Dean St, Brooklyn, NY 11216, USA",40.6765265,-73.947505,(718) 773-7463,https://www.hebronsda.org/,thehebronyc@gmail.com,,,,"Soup Kitchen:
Hours of operation: 12:30 PM - 2:00 PM
Food Pantry:
Hours of operation: Wednesday 9:00 AM - 10:30 AM
For more information, please call them.",Food bank,ChIJT-J3soRbwokRZp1JlD0Kxfo,AP,"Monday,Closed","Tuesday,Closed","Wednesday,9 to 10:30AM","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
Helping Hands Christian Community Center - Food Distribution Center,"326 Junius St, Brooklyn, NY 11212, USA",40.6670656,-73.9024377,(347) 533-4273,https://www.facebook.com/h2c3ministry/,h2c3ministry@gmail.com,,,,"Food Pantry
Hours of Operation: Monday to Friday, 9:00 AM - 5:00 PM
For more information, please call.",Food bank,ChIJSZvEtFlcwokRupRKBkV3noY,AP,,,,,,,,
Helping Hands Food pantry,"62 Park Pl, Brooklyn, NY 11217, USA",40.6787316,-73.9761129,,,,,,,,Food bank,ChIJT2UQQqlbwokRmDoBW2U6Y2w,AP,,,,,,,,
Helping Hands Unlimited - Food Distribution Center,"1137 Hancock St, Brooklyn, NY 11221, USA",40.690452,-73.913287,(718) 979-0591,,,,,,,Food bank,ChIJfcO95BVcwokRJEkEIPYSwbU,AP,"Monday,Closed","Tuesday,8AM to 12PM","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
Hetrick-Martin Institute - Food Distribution Center,"740 Broadway, New York, NY 10003, USA",40.7298375,-73.9926367,+1 212-674-2600,http://www.hmi.org/,info@hmi.org,,,,,Food bank,ChIJ7Z2uWppZwokRyFt6sm1C-sk,AP,"Monday,12 to 8pm","Tuesday,12 to 8pm","Wednesday,12 to 8pm","Thursday,12 to 8pm","Friday,12 to 8pm","Saturday,3 to 7pm","Sunday,Closed",
Highbridge Advisory Council - Food Distribution Center,"1181 Nelson Ave, Bronx, NY 10452, USA",40.8372818,-73.925806,,,,,,,,Food bank,ChIJKdvAFSX0wokRo4CIpiOsf7E,AP,,,,,,,,
Highways And Hedges Church - Food Distribution Center,"237 Powell St, Brooklyn, NY 11212, USA",40.668702,-73.9035701,(718) 342-4471,,,,,,"Phone: (718) 342-4471
Hours of operation: Tuesday from 11:30 AM to 1:30 PM
Requirements: ID, bags, or shopping cart
Referral preferred
For more information, please call.",Food bank,ChIJZ3kMnllcwokRd9t5HWz8xp8,AP,,,,,,,,
Holding Hands Ministries,"6324 7th Ave, Brooklyn, NY 11220, USA",40.6349183,-74.0141754,(347) 779-4579,,,,,,,Food bank,ChIJdwf7k05FwokROmkZiw3hq3I,OM,closed,closed,closed,closed,closed,09:00 AM - 12:30 PM,closed,
Hollis Avenue Church - Food Distribution Center,"211-04 Hollis Ave, Queens, NY 11429, USA",40.7087985,-73.7463025,(718) 468-1498,http://www.hollisavenuechurch.com/Food-Pantry,haccwebsite@gmail.com,,,,,Food bank,ChIJYzR3AtpjwokR1BL6wwKwLxM,AP,"Monday,Closed","Tuesday,8AM to 11PM","Wednesday,Closed","Thursday,Closed","Friday,Closed","Saturday,Closed","Sunday,Closed",
Hollis Community Christian Church,"191-22 Jamaica Ave, Jamaica, NY 11423, USA",40.7118149,-73.767841,(718) 217-3999,,,,,,,Food bank,ChIJaU-cpW1hwokR1IIRADjfgn4,OM,closed,closed,closed,closed,closed,10:00 AM - 12:30 PM,closed,
Holy Apostles Soup Kitchen,"296 9th Ave, New York, NY 10001, USA",40.7493515,-73.9988479,(212) 924-0167,http://www.holyapostlesnyc.org/what-we-do/soup-kitchen/,sfanto@holyapostlesnyc.org,,https://hask.volunteerhub.com/?format=0&filter=%7b%7d#_=_,,"Soup Kitchen
Hours of Operation:
Monday - Friday: 10:30 AM - 12:30 PM
For more information, please call us.
Mission Statement:
Our mission is not only to provide our guests with hearty and nutritious food to see them through the day, but also to offer refuge from the streets. We provide a safe place where they know they will always be welcomed and never turned away.
From the Holy Apostles Soup Kitchen website:
Hours of Operation:
Monday: 10:30 AM - 12:30 PM
Tuesday: 10:30 AM - 12:30 PM
Wednesday: 10:30 AM - 12:30 PM
Thursday: 10:30 AM - 12:30 PM
Friday: 10:30 AM - 12:30 PM
Saturday: Closed
Sunday: Closed

Visit our website for more volunteering information!",Food bank,ChIJD9_O57BZwokRVkoCF9el0TY,AP,"Monday,10:30AM to 12:30PM","Tuesday,10:30AM to 12:30PM","Wednesday,10:30AM to 12:30PM","Thursday,10:30AM to 12:30PM","Friday,10:30AM to 12:30PM","Saturday,Closed","Sunday,Closed",
Holy Cross Church Food Pantry,"2530 Church Ave, Brooklyn, NY 11226, USA",40.6503815,-73.9535015,(718) 469-5900,http://www.holycrossrcchurch.org/,msgrjoe@aol.com,,,,"Hours of Operation:
Tuesday and Thursday from 2:00 PM to 3:30 PM.
For more information, please call.",Food bank,ChIJo50SJ0JbwokRPTi5X4Bqa-s,OM,closed,02:00 PM - 03:30 PM,closed,02:00 PM - 03:30 PM,closed,closed,closed,
Holy Ghost Pentecostal Church - Food Distribution Center,"15 E 125th St, New York, NY 10027, USA",40.8063451,-73.9415509,,,,,,,,Food bank,ChIJlwkRfAv2wokR_IznV-udd1E,AP,,,,,,,,
Holy Ghost Upper Room Filing Station Ministry Inc.,"146-17 133rd Ave, Queens, NY 11436, USA",40.6688382,-73.7919792,(718) 791-1183,,,,,,,Food bank,ChIJ2cVZ099mwokR5HW0gQYfpps,OM,closed,closed,closed,closed,closed,09:30 AM - 11:30 AM,closed,
Holy Innocents,"279 E 17th St, New York, NY 10003, USA",40.7322715,-73.9836174,(718) 469-9500,,,,,,,Food bank,EiYyNzkgRSAxN3RoIFN0LCBOZXcgWW9yaywgTlkgMTAwMDMsIFVTQSIxEi8KFAoSCQehZOifWcKJEcQQc07OkpE_EJcCKhQKEgnhXK18n1nCiRFQ-n9KWF2Vdw,OM,closed,closed,08:00 AM - 12:00 PM,closed,closed,closed,closed,
Holy Name Franciscan Community Center - Food Pantry,"214 W 97th St, New York, NY 10025, USA",40.7948388,-73.9706749,(212) 932-8040,https://www.holynamenyc.org/s/food-pantry?language=en_US,fcc@fccnyc.org,,,,"Emergency Food Pantry Opening Hours:
Monday: 11:00 a.m. - 3:00 p.m.
Friday: 12:00 p.m. - 1:00 p.m.
Requirements Needed:
- Photo ID (driver's license, passport, etc.)
- Proof of address for each visit",Food bank,ChIJq6pW0Cf2wokRG1Z9WZJx1v8,AP,"Monday,10AM to 2PM","Tuesday,11AM to 1PM","Wednesday,Closed","Thursday,11AM to 1PM","Friday,12 to 1PM","Saturday,Closed","Sunday,Closed",
Holy Name of Jesus Church - Food Distribution Center,"207 W 96th St, New York, NY 10025, USA",40.7944661,-73.9706389,(212) 749-1240,https://www.holynamenyc.org/s/food-pantry,,lurena@hnj.nyc,,(212) 749-0276,Email us or call us for more information on how to volunteer!,Food bank,ChIJVdFs2yf2wokRzY5jnAcq_S0,AP,"Monday,9AM to 2PM","Tuesday,11AM to 1PM","Wednesday,Closed","Thursday,11AM to 1PM","Friday,Closed","Saturday,Closed","Sunday,Closed",
